iter	readout	layer_idx	layer	within	between	separation	z	p	minpair
140000	after	9	L08	0.0990	-0.1948	0.2939	9.177	0.0000	8
140000	after	10	L09	0.1157	-0.2087	0.3244	9.575	0.0000	9
140000	after	11	L10	0.1291	-0.2200	0.3491	9.862	0.0000	9
140000	after	12	L11	0.1396	-0.2306	0.3701	9.801	0.0000	9
140000	after	13	L12	0.1462	-0.2363	0.3824	10.330	0.0000	9
140000	after	14	L13	0.1521	-0.2411	0.3932	10.251	0.0000	9
140000	after	15	L14	0.1541	-0.2428	0.3969	9.605	0.0010	9
140000	after	16	L15	0.1680	-0.2544	0.4224	8.519	0.0010	9
160000	final	0	embed	-0.0925	-0.0183	-0.0742	-1.304	0.9440	0
160000	final	1	L00	-0.0867	-0.0275	-0.0591	-0.866	0.8070	2
160000	final	2	L01	-0.0865	-0.0280	-0.0585	-0.865	0.8040	2
160000	final	3	L02	-0.0921	-0.0267	-0.0653	-1.220	0.9360	0
160000	final	4	L03	-0.0865	-0.0330	-0.0535	-1.610	0.9740	0
160000	final	5	L04	-0.0805	-0.0390	-0.0415	-1.403	0.9420	0
160000	final	6	L05	-0.0751	-0.0436	-0.0315	-1.232	0.9040	0
160000	final	7	L06	-0.0639	-0.0536	-0.0103	-0.450	0.6530	0
160000	final	8	L07	-0.0476	-0.0682	0.0205	1.030	0.1540	0
160000	final	9	L08	-0.0404	-0.0746	0.0341	1.475	0.0860	0
160000	final	10	L09	-0.0384	-0.0765	0.0382	1.757	0.0440	0
160000	final	11	L10	-0.0371	-0.0777	0.0406	1.824	0.0460	0
160000	final	12	L11	-0.0362	-0.0784	0.0422	2.074	0.0340	0
160000	final	13	L12	-0.0305	-0.0835	0.0530	2.661	0.0050	0
160000	final	14	L13	-0.0280	-0.0856	0.0577	2.765	0.0070	0
160000	final	15	L14	-0.0293	-0.0844	0.0551	2.751	0.0100	0
160000	final	16	L15	-0.0299	-0.0837	0.0539	2.477	0.0140	0
160000	after	0	embed	-0.1110	-0.0095	-0.1015	-0.816	0.6900	1
160000	after	1	L00	-0.1081	-0.0029	-0.1052	-1.166	0.9850	0
